trial	ptIdx	percentValid	centX	centY	centDist	centAngle	RMS	subj	glasses	dist	offset
8	15	1.0000	864.7500	1095.5300	2.3230	273.0200	0.1010	101	Tobii	3M	0deg
9	13	0.9800	504.5000	1206.8570	2.7540	270.3650	0.1210	101	Tobii	3M	0deg
1	13	1.0000	653.0300	945.4400	1.8350	288.9600	0.0740	101	Tobii	3M	10Ldeg
2	15	1.0000	928.2700	1035.6200	2.1190	280.0510	0.1310	101	Tobii	3M	10Ldeg
3	5	1.0000	917.8700	730.9800	2.2230	278.5200	0.1140	101	Tobii	3M	10Ldeg
4	21	1.0000	299.4300	1248.1800	1.6970	287.7460	0.1060	101	Tobii	3M	10Ldeg
5	1	1.0000	318.6300	634.3700	1.9160	288.0000	0.1950	101	Tobii	3M	10Ldeg
6	25	1.0000	900.2500	1250.7800	1.6470	279.1070	0.1300	101	Tobii	3M	10Ldeg
7	3	1.0000	661.4800	663.0100	2.0330	288.0220	0.1180	101	Tobii	3M	10Ldeg
8	23	1.0000	656.6200	1238.2300	1.6910	291.1470	0.1120	101	Tobii	3M	10Ldeg
9	11	1.0000	253.4200	1021.2800	2.0590	279.4490	0.0990	101	Tobii	3M	10Ldeg
1	25	0.7800	1085.2820	924.3210	1.0440	340.1440	1.7790	101	Tobii	3M	10Rdeg
2	11	1.0000	155.9600	741.7400	0.9430	267.4640	0.1080	101	Tobii	3M	10Rdeg
3	5	1.0000	1619.8400	588.8100	3.4770	331.7760	0.2950	101	Tobii	3M	10Rdeg
4	3	1.0000	542.3500	819.7800	2.5500	273.7100	0.5570	101	Tobii	3M	10Rdeg
5	23	1.0000	461.1900	1086.6800	0.9980	261.2910	0.0970	101	Tobii	3M	10Rdeg
6	13	1.0000	628.5000	1053.0200	2.2120	283.0810	1.0160	101	Tobii	3M	10Rdeg
7	21	1.0000	40.7000	1172.7400	1.4100	249.6380	0.1410	101	Tobii	3M	10Rdeg
8	15	0.9800	881.0410	939.5820	1.7220	276.1940	0.5010	101	Tobii	3M	10Rdeg
9	1	1.0000	72.3600	640.1500	1.8810	258.7350	0.2690	101	Tobii	3M	10Rdeg
1	1	1.7920	65.5120	187.5020	1.2040	191.6390	0.4450	102	Pupil Labs	1M	0deg
2	5	1.7750	769.6290	170.6290	0.7440	183.5590	0.3080	102	Pupil Labs	1M	0deg
3	3	1.8000	415.1620	169.8010	0.9890	182.1160	0.5460	102	Pupil Labs	1M	0deg
4	15	1.9920	768.1590	486.9540	0.7750	528.6810	0.1290	102	Pupil Labs	1M	0deg
5	25	1.7580	786.2940	775.7300	0.8670	489.2350	0.4090	102	Pupil Labs	1M	0deg
6	23	1.9830	394.9200	760.1810	1.4920	505.1560	0.1900	102	Pupil Labs	1M	0deg
7	21	1.9830	93.8190	738.3070	1.3960	487.4740	0.1470	102	Pupil Labs	1M	0deg
